6,2139247,13226312
6,529511,1373552
8,4272791,14368403
20,15706127,17860668
20,6125185,7377478
20,1396632,9497337
30,27840880,37015766
38,2433378,9837543
26,1578730,2602805
36,2906694,4493554
46,2877107,5595262
52,15075988,22897976
46,5415173,7784342
52,10342226,16554439
60,21850610,35283565
76,9497497,21273744
76,318635,7817537
76,393682,14078561
76,766884,6240294
92,741859,20763790
100,12453669,14991357
100,9131190,16640093
104,869023,12042645
108,622785,26375169
134,809954,15434824
126,931941,26277961
140,480811,3789407
156,692746,5527507
166,339320,18229752
168,1517737,17289245
180,1024628,24374057
202,10220521,30161750
204,1601973,17767404
200,761331,15102252
200,853295,28972422
248,883876,10747916
248,160841,26837666
258,13146496,32158840
256,5833335,35396096
254,886682,17128847
286,1460983,20515828
298,15952173,58396042
306,8780901,22525836
306,24853791,87408838
344,11496642,63769349
336,833026,48357121
342,26541676,51766350
354,7032537,51976818
358,19900706,48393083
392,21338049,44632898
394,1129525,26024269
406,549427,11118750
404,42443774,47373365
406,33821025,102433581
452,15314799,93061613
458,14224790,34047765
464,3934763,27409908
478,3511149,15062325
476,2340719,26794500
516,6372024,24229727
534,19089781,24896556
538,2578012,14437176
526,6726621,43754946
586,7442108,43596032
590,7554000,32660288
590,7921416,28172187
594,4837379,14426016
600,3065909,22444611
654,514190,2389438
660,12498329,40373776
668,17269006,46446000
662,5698537,43561448
670,4807572,16280201
720,6435085,32689253
732,5436368,28088003
740,5456730,22564550
748,6462923,34308259
796,8764290,17580875
812,1366904,37072419
818,15824507,21464772
12,13761,71005
22,41484,96062
16,24994,112862
16,30512,128316
22,17705,94128
22,46653,149616
24,29959,116817
40,103300,283058
38,77009,266143
34,127037,329423
28,38716,106858
46,52464,176540
52,57,2228438
52,50884,224329
54,46371,221691
54,124328,354463
74,226882,562011
80,201732,442079
82,256800,16871905
72,4187102,4425149
102,272628,920568
96,403011,877326
102,294535,2781914
102,139011,410363
104,246307,8976892
126,563355,1539059
130,8626714,9185554
138,672466,1642806
134,590397,1118322
162,4916059,8386465
162,11183620,12186280
172,626698,1902384
178,901907,1289234
200,504896,3589659
210,2293529,4633947
210,626128,2014101
232,2925162,5427589
244,3484732,5054524
254,1182260,5628232
264,896231,3381985
286,404643,601059
290,1002701,7152316
302,4882645,9114314
304,2186266,10402897
340,1817304,10572151
340,2169207,6550645
336,889795,4734119
356,1018626,7563327
354,1524480,5191978
396,7202827,14064968
404,1523907,9005577
406,2566973,18508634
406,2703386,7856167
416,2389562,19011808
466,5916554,7131880
468,7106592,13745501
458,6393252,12919426
474,2730029,10442656
462,263577,928910
510,1640774,5482191
8,10078,65414
6,7777,92332
8,4090,51376
4,2667,31754
8,12575,48870
18,18459,75115
18,23719,74737
20,29421,105464
20,37512,121114
36,97452,1002913
30,68445,137036
34,30297,102402
36,29244,107128
42,19,38
46,89161,267091
50,130049,306458
54,70033,376874
52,77791,291144
54,50605,337175
74,167696,275530
72,199055,542329
76,155077,360600
74,155737,411212
78,122240,520571
88,240750,1086566
106,290581,590309
100,253754,3852161
106,839293,1383881
124,483022,815972
134,527161,1122878
132,353221,609366
136,1148734,1456818
164,862278,2771022
170,334991,703444
166,556690,1560947
174,853606,2850311
176,918206,2046552
204,541148,1889670
214,460084,1157374
212,1118616,2997870
244,1488622,3384912
244,931872,6780498
242,1815744,3669217
266,882325,3368048
262,1036261,5485917
294,2248975,3714612
292,939339,4068103
294,1455390,9099281
304,538863,3926547
332,2563943,10389499
346,7215426,15149888
362,644961,6214308
344,1570458,6408337
394,1923118,4653835
410,1378452,17491023
408,882786,9260893
446,1417279,11473374
454,114572,1026425
464,702712,19690993
456,2355898,13017370
456,4848566,10312616
510,8442889,17284913
532,960139,7569280
514,3471063,17227302
530,3052149,20204550
536,1753380,15286374
572,6433706,14268951
592,600520,11439469
588,3289769,12745262
598,2002964,4028504
590,287782,1435911
648,7678424,20581470
646,1424707,6367972
660,22278975,30926672
664,4949425,11745320
666,2028805,20680499
706,1153506,8926948
724,3991824,16932916
742,11239535,28521939
738,4105394,18272697
750,21996403,35937472
806,1202233,13575518
818,9788021,38784859
820,3011248,31773089
888,5852583,30554617
906,9994453,29820180
910,6439194,22581078
898,7309434,42628487
976,13729463,47202367
982,2481673,38816549
980,21968885,52743207
